name,company_name,pack_size,price
Aloc,Bosch,Pack Size: 1x10's,Rs 91
Alofex,Derma Techno,Pack Size: 1x10's,Rs 70
Atiza,Asian Continental,Pack Size: 60ml,Rs 62
Amdaquin,Zafa,Pack Size: 20ml,Rs 37
Artedoxin-P,Efroze,Pack Size: 1x8's,Rs 60
Artesul,Zafa,Pack Size: 1x8's,Rs 73
Amikacin,Zafa,Pack Size: 1 vialx2ml,Rs 42
Amikacin Inj,Zafa,Pack Size: 1 vialx2ml,Rs 88
Amisul,Ophth Pharma,Pack Size: 1 Vialx2ml,Rs 71
Arix,Tabletros,Pack Size: 60ml,Rs 75
Aria,Highnoon,Pack Size: 60ml,Rs 65
Asfen,Remington,Pack Size: 60 ml,Rs 75
Asfen,Remington,Pack Size: 3x10s,Rs 27
Asperfin,Davis Pharma,Pack Size: 3x10s,Rs 31
Asthotifen,Zafa,Pack Size: 60ml,Rs 92
Asthotifen,Zafa,Pack Size: 30s,Rs 42
Allerwood,Wood Wards,Pack Size: 30ml,Rs 32
